airport_code,city_name,type,total_flights,days_in_sample,daily_avg_premium_seats,daily_median_premium_seats,daily_peak_premium_seats,monthly_sample_total,annual_projection,top_airline_1,top_airline_1_seats,top_airline_2,top_airline_2_seats,top_airline_3,top_airline_3_seats
KLAX,Los Angeles,DEPARTURE,154624,377,5820.010610079576,5510.0,45552,2217004,2124303.872679045,AAL,364832,DAL,289576,UAL,241520
KLAX,Los Angeles,ARRIVAL,153544,377,5808.70026525199,6206.0,47000,2205448,2120175.596816976,AAL,362398,DAL,286892,UAL,240352
KJFK,New York,DEPARTURE,132254,305,5915.632786885246,7278.0,43420,1820884,2159205.9672131147,DAL,345312,JBU,251240,AAL,224854
KJFK,New York,ARRIVAL,131414,305,5887.1606557377045,7528.0,43900,1808780,2148813.639344262,DAL,344956,JBU,248780,AAL,222128
KORD,Chicago,DEPARTURE,213321,382,4881.528795811519,3611.0,21068,1921458,1781758.0104712043,UAL,640598,AAL,479448,ENY,157488
KORD,Chicago,ARRIVAL,207182,382,4870.476439790576,3151.0,21644,1871862,1777723.9005235601,UAL,627570,AAL,465636,ENY,152288
KDFW,Dallas,DEPARTURE,261652,367,6821.160762942779,8962.0,37600,2579886,2489723.6784741143,AAL,2105784,ENY,113720,FFT,43520
KDFW,Dallas,ARRIVAL,258553,367,6841.645776566757,9194.0,38712,2535088,2497200.7084468664,AAL,2070156,ENY,110472,FFT,42720
KIAH,Houston,DEPARTURE,117808,357,2440.560224089636,2132.0,23510,880776,890804.4817927171,UAL,593950,AAL,48192,NKS,30380
KIAH,Houston,ARRIVAL,118379,357,2462.392156862745,2516.0,23620,888734,898773.137254902,UAL,599604,AAL,48972,NKS,30520
KSFO,San Francisco,DEPARTURE,108310,362,3836.596685082873,5658.0,27536,1397650,1400357.7900552487,UAL,503798,AAL,110356,ASA,89332
KSFO,San Francisco,ARRIVAL,108271,362,3812.8729281767955,5519.0,26680,1396986,1391698.6187845303,UAL,504488,AAL,110320,ASA,88788
