city,airport_code,cluster_id,num_zips,combined_score,total_employment,total_revenue_M,most_used_airport,uses_primary_airport,daily_premium_seats_airport
New York,KJFK,4,4,0.16711409502390506,52941,10588.199999999999,HPN,False,1160.509175268481
New York,KJFK,1,17,0.308197425015841,1169011,233802.2,LGA,False,1160.509175268481
New York,KJFK,7,17,0.22545933611009272,612029,122405.79999999999,LGA,False,1160.509175268481
New York,KJFK,12,3,0.18650642358407452,29348,5869.6,HPN,False,1160.509175268481
New York,KJFK,3,4,0.16877761834913446,29384,5876.799999999999,DXR,False,1160.509175268481
New York,KJFK,10,2,0.1512668774852799,16268,3253.6,BDR,False,1160.509175268481
New York,KJFK,2,2,0.14800597721918635,936,187.2,FRG,False,1160.509175268481
New York,KJFK,5,5,0.1585681649016613,55654,11130.800000000003,MMU,False,1160.509175268481
New York,KJFK,6,5,0.1590417142874057,85401,17080.2,MMU,False,1160.509175268481
New York,KJFK,9,1,0.1284504664283074,6344,1268.8,TEB,False,1160.509175268481
New York,KJFK,13,1,0.1444550852463467,28215,5643.0,N07,False,1160.509175268481
New York,KJFK,11,1,0.1319936307022153,11101,2220.2,NJ72,False,1160.509175268481
New York,KJFK,8,6,0.14545143448299472,93691,18738.199999999997,LGA,False,1160.509175268481
New York,KJFK,0,2,0.15372575542638836,31615,6323.0,FRG,False,1160.509175268481
Los Angeles,KLAX,2,7,0.17743824144818868,90333,18066.6,SNA,False,1620.6837745191392
Los Angeles,KLAX,1,4,0.1428149768734912,46884,9376.8,CA42,False,1620.6837745191392
Los Angeles,KLAX,0,3,0.15517372197577234,28631,5726.2,EMT,False,1620.6837745191392
Los Angeles,KLAX,4,13,0.20162040441642184,235471,47094.2,SMO,False,1620.6837745191392
Los Angeles,KLAX,7,4,0.18824152777617958,109051,21810.2,SNA,False,1620.6837745191392
Los Angeles,KLAX,3,4,0.17600013144580176,66887,13377.4,CMA,False,1620.6837745191392
Los Angeles,KLAX,6,4,0.15090854664382997,33792,6758.4,CA42,False,1620.6837745191392
Los Angeles,KLAX,5,5,0.15221476497356973,44371,8874.199999999999,LAX,False,1620.6837745191392
