city_name,cluster_id,num_zips,cluster_center_lat,cluster_center_lon,most_used_airport,has_fbo_at_airport,fbos_at_airport,num_fbos_at_airport,nearest_fbo_name,nearest_fbo_airport,nearest_fbo_distance_km,nearest_partner,nearest_partner_distance_km,partner_services
Los Angeles,0,3,34.1601326898662,-118.16137487288852,EMT,False,None,0,Atlantic Aviation,BUR,18.700623302722867,Maverick Helicopters,14.194657226274035,"Tours, Charter, Corporate Events"
Los Angeles,1,4,33.45597285411263,-117.6284016530737,CA42,False,None,0,PS LAX,LAX,90.15887845642081,Maverick Helicopters,87.35648108193644,"Tours, Charter, Corporate Events"
Los Angeles,2,7,33.622618436797396,-117.88758432844963,SNA,False,None,0,PS LAX,LAX,59.82358278698369,Maverick Helicopters,57.99593558519049,"Tours, Charter, Corporate Events"
Los Angeles,3,4,34.13144100376121,-118.80527283137414,CMA,False,None,0,Signature Aviation,VNY,30.28791369149738,Helinet,30.319829968465875,"Medical Transport, ENG, Charter"
Los Angeles,4,13,34.07587770379118,-118.4452447990174,SMO,True,Signature Aviation,1,Signature Aviation,SMO,6.7012064576850054,Helinet,15.406212142717768,"Medical Transport, ENG, Charter"
Los Angeles,5,5,33.80806780288577,-118.33483106921695,LAX,True,"PS LAX, Atlantic Aviation, Signature Aviation",3,PS LAX,LAX,16.40505890498218,Maverick Helicopters,28.418486507930748,"Tours, Charter, Corporate Events"
Los Angeles,6,4,33.553269968392186,-117.67609086053083,CA42,False,None,0,PS LAX,LAX,80.33056816057659,Maverick Helicopters,76.34402827718212,"Tours, Charter, Corporate Events"
Los Angeles,7,4,33.71116774618535,-117.71534273966128,SNA,False,None,0,PS LAX,LAX,68.96328940401763,Maverick Helicopters,61.781149162261514,"Tours, Charter, Corporate Events"
New York,0,2,40.82293609221253,-73.486329250164,FRG,True,Atlantic Aviation,1,Atlantic Aviation,FRG,12.089516043031031,FlexJet,48.423101967613825,"Heli Card, Fractional/Lease"
New York,1,17,40.772762538691886,-73.97332986963166,LGA,False,None,0,Atlantic Aviation,TEB,11.322006003920762,FlexJet,11.320017342627034,"Heli Card, Fractional/Lease"
New York,2,2,40.975061403160865,-73.49835024883032,FRG,True,Atlantic Aviation,1,Atlantic Aviation,HPN,20.30934589062537,FlexJet,49.26335783724378,"Heli Card, Fractional/Lease"
New York,3,4,41.19756698945265,-73.43298887089767,DXR,False,None,0,Atlantic Aviation,BDR,25.955279927229956,FlexJet,65.31870988592327,"Heli Card, Fractional/Lease"
New York,4,4,41.072256558995605,-73.71137045757374,HPN,True,"Atlantic Aviation, Million Air, FlexJet",3,Atlantic Aviation,HPN,0.6704361635643498,FlexJet,38.35534667928936,"Heli Card, Fractional/Lease"
New York,5,5,40.70426757806873,-74.404593795527,MMU,True,Signature Aviation,1,Signature Aviation,MMU,10.606894156951984,Heliflite,22.615241785348097,"On-Demand Charter, HeliCard, Corporate Travel"
New York,6,5,40.786865889229226,-74.38369995450896,MMU,True,Signature Aviation,1,Signature Aviation,MMU,2.9693286535768144,Heliflite,20.379810270029814,"On-Demand Charter, HeliCard, Corporate Travel"
New York,7,17,40.712724411983324,-74.00647300307519,LGA,False,None,0,Signature Aviation,EWR,13.85832001377246,Heliflite,12.641185097867357,"On-Demand Charter, HeliCard, Corporate Travel"
New York,8,6,40.81781398074346,-73.59101703464285,LGA,False,None,0,Atlantic Aviation,FRG,17.904680128083715,FlexJet,39.685944019844136,"Heli Card, Fractional/Lease"
New York,9,1,41.02529141899981,-74.06034310648383,TEB,True,"Atlantic Aviation, Signature Aviation, FlexJet, JetLinx",4,Atlantic Aviation,TEB,19.480224295148947,FlexJet,19.480434789549065,"Heli Card, Fractional/Lease"
New York,10,2,41.159918692668924,-73.28498578804131,BDR,True,Atlantic Aviation,1,Atlantic Aviation,BDR,13.300460241633836,FlexJet,73.65416815814959,"Heli Card, Fractional/Lease"
New York,11,1,40.37682454810918,-74.17260815434415,NJ72,False,None,0,Signature Aviation,EWR,35.100910191950206,Heliflite,42.24857007168628,"On-Demand Charter, HeliCard, Corporate Travel"
New York,12,3,41.06314572406735,-73.6962306367051,HPN,True,"Atlantic Aviation, Million Air, FlexJet",3,Atlantic Aviation,HPN,1.040366031453599,FlexJet,38.709880697571364,"Heli Card, Fractional/Lease"
New York,13,1,40.94805001919339,-74.24503048292713,N07,False,None,0,Atlantic Aviation,TEB,18.92870771843714,FlexJet,18.93112374559782,"Heli Card, Fractional/Lease"
