zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name,centroid_lat,centroid_lon,Travel_Time_Min,Distance_km,Revenue_Norm,Employment_Norm,PowerShare_Norm,Distance_Norm,Distance_Squared,Corporate_Score,threshold_90
06801,new_york,543,6561,356794,2194.0,458.0,0.2087511394712853,1369,1312.2,479.15,20.86572168876696,36.51501295534217,New York,41.37469426311951,-73.39277506586429,0.0,87.7251335993675,0.03663324862464743,0.03663324862464744,0.2086572168876696,0.21776237424828043,0.04742045163824815,0.05007571758870919,0.0905764210727858
06804,new_york,577,6563,381636,2384.0,490.0,0.2055369127516778,1348,1312.6,471.8,20.53938747523998,35.94392808166997,New York,41.467312099082434,-73.39235316588801,0.0,97.37693412283275,0.03664441900080985,0.03664441900080985,0.2053938747523998,0.2418389814012748,0.05848609292520614,0.05210792055537223,0.0905764210727858
06807,new_york,237,1362,86762,849.0,249.0,0.293286219081272,399,272.4,139.65,29.295154185022028,51.26651982378855,New York,41.0610287405117,-73.59215907660122,0.0,49.222281162126706,0.007595855790443743,0.007595855790443743,0.29295154185022027,0.12171624791699007,0.014814845006990188,0.015015287672224206,0.0905764210727858
06810,new_york,1720,34163,2446196,7944.0,1602.0,0.2016616314199395,6889,6832.6,2411.15,20.165090887802595,35.288909053654535,New York,41.37624259632545,-73.45907780263006,118.76666666666667,79.17777777777778,0.1907956100421682,0.19079561004216816,0.20165090887802595,0.1964408262311038,0.038588998210358716,0.13975011517263528,0.0905764210727858
06811,new_york,589,6588,321846,2491.0,670.0,0.2689682858289843,1771,1317.6,619.85,26.88221007893139,47.04386763812994,New York,41.42424482916665,-73.4821247724776,0.0,90.5298081782314,0.036784048702840064,0.03678404870284007,0.2688221007893139,0.22475869041365557,0.050516468916461464,0.0528183752317325,0.0905764210727858
06812,new_york,189,1054,49680,709.0,196.0,0.2764456981664316,291,210.8,101.85,27.609108159392783,48.31593927893738,New York,41.487931852270165,-73.48827922056498,0.0,97.22607547725178,0.005875617861431484,0.005875617861431484,0.2760910815939278,0.24146266152847434,0.058304216912414566,0.016564665013175665,0.0905764210727858
06820,new_york,696,6248,467597,3029.0,1201.0,0.3965004952129415,2477,1249.6,866.95,39.64468629961588,69.3782010243278,New York,41.076347407237115,-73.48108151849414,0.0,54.443460137299994,0.034885084755229126,0.03488508475522913,0.3964468629961588,0.134740582056004,0.018155024452790748,0.04408014103722096,0.0905764210727858
06824,new_york,1113,14238,871823,5054.0,1652.0,0.3268698060941828,4653,2847.6,1628.55,32.68015170670038,57.190265486725664,New York,41.174021318382,-73.28050389067454,125.28333333333333,83.52222222222223,0.07951073752408612,0.07951073752408612,0.3268015170670038,0.2072781287564303,0.042964222660767305,0.08690419882303081,0.0905764210727858
06825,new_york,590,10299,461329,2455.0,635.0,0.2586558044806517,2663,2059.8,932.05,25.856879308670745,45.2495387901738,New York,41.19683782421539,-73.24215826153633,0.0,76.44387471176333,0.05751068167220531,0.05751068167220531,0.25856879308670744,0.18962105100317933,0.035956142983550335,0.06559603239953833,0.0905764210727858
06830,new_york,1488,19916,3471636,6984.0,3046.0,0.4361397479954181,8686,3983.2,3040.1,43.61317533641294,76.32305683872264,New York,41.03743649848576,-73.62455867195487,80.73333333333333,53.82222222222222,0.11122343544918874,0.11122343544918875,0.43613175336412935,0.13319089179940277,0.017739813658320218,0.09457145397369834,0.0905764210727858
