zipcode,city_key,power_establishments,power_employment,power_revenue_M,total_establishments,total_employment,power_emp_pct,power_estab_pct
02169,other,2128.0,6346,2221.1,1556,21542,29.458731779779036,136.76092544987145
02170,other,180.0,283,99.05,246,1552,18.234536082474225,73.17073170731707
02171,other,595.0,5264,1842.4,402,14724,35.75115457756045,148.00995024875624
02176,other,586.0,1238,433.3,518,4663,26.54943169633283,113.12741312741312
02180,other,706.0,1771,619.85,630,6735,26.29547141796585,112.06349206349206
02184,other,2302.0,7865,2752.75,1528,24327,32.330332552308136,150.6544502617801
02186,other,700.0,1677,586.95,479,4809,34.87211478477854,146.13778705636744
02188,other,149.0,499,174.65,293,3651,13.667488359353602,50.85324232081911
02189,other,300.0,1537,537.95,404,8114,18.942568400295784,74.25742574257426
02190,other,222.0,1063,372.05,414,8267,12.858352485786865,53.62318840579711
02191,other,81.0,156,54.6,147,952,16.386554621848738,55.10204081632652
02199,other,673.0,11263,3942.05,281,18644,60.41085603947651,239.5017793594306
02203,other,15.0,36,12.6,7,36,100.0,214.28571428571428
02205,other,10.0,112,39.2,18,202,55.44554455445545,55.55555555555556
02210,other,2754.0,32292,11302.2,1098,59425,54.34076567101388,250.81967213114754
02215,other,639.0,14046,4916.1,540,51174,27.447531949818266,118.33333333333333
02301,other,1222.0,4466,1563.1,1444,24371,18.325058471133723,84.62603878116343
02302,other,152.0,575,201.25,453,6977,8.241364483302279,33.554083885209714
02322,other,105.0,721,252.35,224,4977,14.486638537271448,46.875
02324,other,458.0,1305,456.75,512,5996,21.76450967311541,89.453125
02325,other,0.0,0,0.0,3,8,0.0,0.0
02330,other,110.0,201,70.35,219,1498,13.41789052069426,50.2283105022831
02332,other,460.0,877,306.95,339,2483,35.32017720499396,135.69321533923303
02333,other,107.0,220,77.0,268,2010,10.945273631840797,39.92537313432835
02338,other,26.0,75,26.25,111,1030,7.281553398058252,23.423423423423422
02339,other,582.0,1457,509.95,647,6946,20.976101353296862,89.95363214837712
02341,other,85.0,164,57.4,195,1309,12.528647822765471,43.58974358974359
02343,other,102.0,247,86.45,270,2432,10.15625,37.77777777777778
02346,other,345.0,866,303.1,572,6062,14.285714285714285,60.31468531468531
02347,other,306.0,699,244.65,307,2559,27.315357561547483,99.6742671009772
02038,other,998.0,3734,1306.9,857,14001,26.669523605456753,116.45274212368729
02043,other,1599.0,7217,2525.95,926,18521,38.96657847848388,172.67818574514038
02045,other,119.0,186,65.1,173,960,19.375,68.78612716763006
02047,other,0.0,0,0.0,4,22,0.0,0.0
02048,other,721.0,3153,1103.55,611,11294,27.917478307065696,118.00327332242226
02050,other,577.0,1172,410.2,529,4498,26.05602489995554,109.07372400756144
02052,other,355.0,679,237.65,317,2352,28.869047619047617,111.98738170347002
02053,other,248.0,561,196.35,338,2958,18.96551724137931,73.37278106508876
02054,other,110.0,203,71.05,201,1325,15.320754716981133,54.72636815920397
02056,other,223.0,495,173.25,222,1718,28.81257275902212,100.45045045045045
02061,other,1138.0,4642,1624.7,606,10729,43.265914810327146,187.78877887788778
02062,other,1361.0,5885,2059.75,1221,24007,24.51368350897655,111.46601146601147
02066,other,361.0,686,240.1,370,2757,24.882118244468625,97.56756756756756
02067,other,596.0,1149,402.15,366,2728,42.118768328445746,162.8415300546448
02071,other,0.0,0,0.0,18,106,0.0,0.0
02072,other,957.0,3182,1113.7,927,13704,23.219497956800932,103.23624595469256
02081,other,588.0,1718,601.3,610,7437,23.100712652951458,96.39344262295081
02090,other,816.0,6252,2188.2,491,15379,40.65283828597438,166.19144602851324
02093,other,263.0,804,281.4,447,5432,14.80117820324006,58.836689038031324
02108,other,2711.0,10115,3540.25,1087,19066,53.05255428511486,249.40202391904322
02109,other,3959.0,19856,6949.6,1340,31428,63.17933053328242,295.44776119402985
