fbo_name,location_name,airport_code,airport_name,latitude,longitude,city,state,region,services
Atlantic Aviation,White Plains,HPN,WESTCHESTER COUNTY,41.0669530555556,-73.7075661111111,WHITE PLAINS,NEW YORK,Nyc Metro,Premium FBO Terminal
Atlantic Aviation,Teterboro,TEB,TETERBORO,40.8501019444444,-74.0608333333333,TETERBORO,NEW JERSEY,Nyc Metro,Premium FBO Terminal
Atlantic Aviation,Farmingdale,FRG,REPUBLIC,40.7292741666667,-73.4134208333333,FARMINGDALE,NEW YORK,Nyc Metro,Premium FBO Terminal
Atlantic Aviation,Stratford,BDR,BRIDGEPORT/SIKORSKY,41.1634808333333,-73.1261758333333,BRIDGEPORT,CONNECTICUT,Nyc Metro,Premium FBO Terminal
Atlantic Aviation,Oxford,OXC,WATERBURY-OXFORD,41.4782805555556,-73.1351825,OXFORD,CONNECTICUT,Nyc Metro,Premium FBO Terminal
Million Air,Albany,ALB,ALBANY INTL,42.7491161111111,-73.80198,ALBANY,NEW YORK,Nyc Metro,Premium FBO Terminal
Million Air,White Plains,HPN,WESTCHESTER COUNTY,41.0669530555556,-73.7075661111111,WHITE PLAINS,NEW YORK,Nyc Metro,Premium FBO Terminal
Signature Aviation,EWR,EWR,NEWARK LIBERTY INTL,40.6924805555556,-74.1686877777778,NEWARK,NEW JERSEY,Nyc Metro,Premium FBO Terminal
Signature Aviation,Teterboro (South/West/East),TEB,TETERBORO,40.8501019444444,-74.0608333333333,TETERBORO,NEW JERSEY,Nyc Metro,Premium FBO Terminal
Signature Aviation,Westhampton,FOK,FRANCIS S GABRESKI,40.8436186111111,-72.6318119444444,WESTHAMPTON BEACH,NEW YORK,Nyc Metro,Premium FBO Terminal
Signature Aviation,Morristown,MMU,MORRISTOWN MUNI,40.7993383333333,-74.4148886111111,MORRISTOWN,NEW JERSEY,Nyc Metro,Premium FBO Terminal
FlexJet,White Plains,HPN,WESTCHESTER COUNTY,41.0669530555556,-73.7075661111111,WHITE PLAINS,NEW YORK,Nyc Metro,Premium FBO Terminal
FlexJet,Teterboro,TEB,TETERBORO,40.8501019444444,-74.0608333333333,TETERBORO,NEW JERSEY,Nyc Metro,Premium FBO Terminal
JetLinx,Teterboro,TEB,TETERBORO,40.8501019444444,-74.0608333333333,TETERBORO,NEW JERSEY,Nyc Metro,Premium FBO Terminal
PS LAX,LAX (Specific luxury terminal),LAX,LOS ANGELES INTL,33.9424963888889,-118.408048611111,LOS ANGELES,CALIFORNIA,La Metro,Premium FBO Terminal
Atlantic Aviation,LAX,LAX,LOS ANGELES INTL,33.9424963888889,-118.408048611111,LOS ANGELES,CALIFORNIA,La Metro,Premium FBO Terminal
Atlantic Aviation,Burbank,BUR,BOB HOPE,34.2006944444444,-118.358666666667,BURBANK,CALIFORNIA,La Metro,Premium FBO Terminal
Atlantic Aviation,Santa Barbara,SBA,SANTA BARBARA MUNI,34.4261916666667,-119.841492777778,SANTA BARBARA,CALIFORNIA,La Metro,Premium FBO Terminal
Atlantic Aviation,Palm Springs,PSP,PALM SPRINGS INTL,33.8296697222222,-116.506694166667,PALM SPRINGS,CALIFORNIA,La Metro,Premium FBO Terminal
Signature Aviation,LAX,LAX,LOS ANGELES INTL,33.9424963888889,-118.408048611111,LOS ANGELES,CALIFORNIA,La Metro,Premium FBO Terminal
Signature Aviation,Van Nuys (East/West),VNY,VAN NUYS,34.2098055555556,-118.489972222222,VAN NUYS,CALIFORNIA,La Metro,Premium FBO Terminal
Signature Aviation,Palm Springs,PSP,PALM SPRINGS INTL,33.8296697222222,-116.506694166667,PALM SPRINGS,CALIFORNIA,La Metro,Premium FBO Terminal
Signature Aviation,Santa Monica,SMO,SANTA MONICA MUNI,34.0158219444444,-118.451306111111,SANTA MONICA,CALIFORNIA,La Metro,Premium FBO Terminal
FlexJet,Van Nuys,VNY,VAN NUYS,34.2098055555556,-118.489972222222,VAN NUYS,CALIFORNIA,La Metro,Premium FBO Terminal
