city_key,city_name,NAICS2,industry_name,is_power,establishments,employment,payroll,revenue,total_employment,total_revenue,employment_share,revenue_share
chicago,Chicago,51,Information/Media,True,4193,43325,2938308528,21662500000,741347,235751390000,5.844091902982004,9.188705101590282
chicago,Chicago,52,Finance,True,7323,74727,4751886183,44836200000,741347,235751390000,10.079895109847344,19.01842445128319
chicago,Chicago,53,Real Estate,True,3849,39920,2602276767,11976000000,741347,235751390000,5.384792816319484,5.079927630543344
chicago,Chicago,54,Professional,True,5814,59633,4021166217,10733940000,741347,235751390000,8.043871493376246,4.553076017918706
chicago,Chicago,55,Management,True,4916,50513,3342869821,25256500000,741347,235751390000,6.813678344958568,10.713192401537908
chicago,Chicago,71,Entertainment,True,3175,33047,2200779902,4957050000,741347,235751390000,4.457696598219187,2.1026599249319378
dallas,Dallas,51,Information/Media,True,6558,66918,4291835118,33459000000,1414947,436897370000,4.729364421423559,7.658320305292751
dallas,Dallas,52,Finance,True,10704,108409,7169023898,65045400000,1414947,436897370000,7.661700402912618,14.888027364412837
dallas,Dallas,53,Real Estate,True,10618,107570,6741536419,32271000000,1414947,436897370000,7.602404895731077,7.386402898236718
dallas,Dallas,54,Professional,True,9874,100159,6524549314,18028620000,1414947,436897370000,7.078639694631672,4.126511450503811
dallas,Dallas,55,Management,True,8342,84796,5547628414,42398000000,1414947,436897370000,5.99287464477468,9.704338572695
dallas,Dallas,71,Entertainment,True,5509,56466,3615704531,8469900000,1414947,436897370000,3.9906795095505343,1.938647513488122
houston,Houston,51,Information/Media,True,4635,47502,3067427530,23751000000,1373963,478532050000,3.4572983406394497,4.963303920813663
houston,Houston,52,Finance,True,8415,85444,5672953872,51266400000,1373963,478532050000,6.218799196193784,10.713263615258372
houston,Houston,53,Real Estate,True,8071,81956,5362169307,24586800000,1373963,478532050000,5.964935009166913,5.137963068513384
houston,Houston,54,Professional,True,7881,79990,5300748705,14398200000,1373963,478532050000,5.821845275309451,3.0088266815148534
houston,Houston,55,Management,True,6152,62685,4058274686,31342500000,1373963,478532050000,4.562349932276197,6.549718038739516
houston,Houston,71,Entertainment,True,4604,47162,3127128803,7074300000,1373963,478532050000,3.4325524049774265,1.47833358288123
los_angeles,Los Angeles,51,Information/Media,True,10191,104023,6933018883,52011500000,778593,236787790000,13.360382125192494,21.965448471815208
los_angeles,Los Angeles,52,Finance,True,3594,37728,2481785619,22636800000,778593,236787790000,4.8456639091283895,9.559952394504801
los_angeles,Los Angeles,53,Real Estate,True,4543,47280,3055626995,14184000000,778593,236787790000,6.072492303424254,5.990173733197983
los_angeles,Los Angeles,54,Professional,True,5303,54972,3575236292,9894960000,778593,236787790000,7.060428234006727,4.178830335804054
los_angeles,Los Angeles,55,Management,True,3039,32056,2025640472,16028000000,778593,236787790000,4.117170331610995,6.768930104039571
los_angeles,Los Angeles,71,Entertainment,True,10171,103713,6703725003,15556950000,778593,236787790000,13.320566714573594,6.569996704644272
miami,Miami,51,Information/Media,True,2364,24325,1728212318,12162500000,434621,130015560000,5.596830341838062,9.354649551176799
miami,Miami,52,Finance,True,3193,32656,2310311331,19593600000,434621,130015560000,7.513672832191726,15.070196213437836
miami,Miami,53,Real Estate,True,3449,35209,2313057790,10562700000,434621,130015560000,8.101081171871586,8.124181444128688
miami,Miami,54,Professional,True,2093,21674,1485250272,3901320000,434621,130015560000,4.986873620924897,3.0006562291467267
miami,Miami,55,Management,True,1782,18464,1051537558,9232000000,434621,130015560000,4.2482990927727835,7.100688563738064
miami,Miami,71,Entertainment,True,1904,19695,1407343866,2954250000,434621,130015560000,4.531534371325821,2.2722280317832726
new_york,New York,51,Information/Media,True,8593,89171,5714615046,44585500000,890921,305304720000,10.0088560040677,14.603606521379689
new_york,New York,52,Finance,True,11484,118193,7523720347,70915800000,890921,305304720000,13.26638388813374,23.227875415748567
new_york,New York,53,Real Estate,True,4475,47559,3023817765,14267700000,890921,305304720000,5.3381837446866784,4.673265450989424
new_york,New York,54,Professional,True,6326,66378,4316952639,11948040000,890921,305304720000,7.450492243420011,3.9134802763612697
new_york,New York,55,Management,True,8012,83226,5494383349,41613000000,890921,305304720000,9.34156900555717,13.629989081072837
new_york,New York,71,Entertainment,True,6403,66988,4368354977,10048200000,890921,305304720000,7.518960715933288,3.2912036210904305
san_francisco,San Francisco,51,Information/Media,True,6539,66349,4243613073,33174500000,620289,191214280000,10.696465679707362,17.34938415687364
san_francisco,San Francisco,52,Finance,True,3423,35173,2170384536,21103800000,620289,191214280000,5.670421368104223,11.036728010062847
san_francisco,San Francisco,53,Real Estate,True,3116,32117,2153907593,9635100000,620289,191214280000,5.1777477917551336,5.038901906280222
san_francisco,San Francisco,54,Professional,True,6772,68622,4473742631,12351960000,620289,191214280000,11.062907773634548,6.459747671565115
san_francisco,San Francisco,55,Management,True,3642,37312,2432562945,18656000000,620289,191214280000,6.015260628513483,9.756593492912769
san_francisco,San Francisco,71,Entertainment,True,3976,40675,2535051139,6101250000,620289,191214280000,6.5574272637431905,3.190792026620606
