airport_code,city_name,city_key,date,hour,day_of_week,month,year,type,airline_normalized,seatguru_aircraft_model,first_class_seats,business_class_seats,premium_total,distance_km,orig_icao,dest_icao
KLAX,Los Angeles,los_angeles,2025-10-10,22.0,Friday,10.0,2025.0,DEPARTURE,AeroMexico,Boeing 737 MAX 8 (7M8),0,34,34,2616.85,KLAX,MMMX
KLAX,Los Angeles,los_angeles,2025-10-10,21.0,Friday,10.0,2025.0,DEPARTURE,Delta,Airbus A321 (321) Layout 1,20,0,20,3241.39,KLAX,KATL
KLAX,Los Angeles,los_angeles,2025-10-10,20.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 767-300ER (76H/76Z) Layout 3,0,36,36,4218.49,KLAX,KJFK
KLAX,Los Angeles,los_angeles,2025-10-10,20.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,3555.85,KLAX,KCLT
KLAX,Los Angeles,los_angeles,2025-10-10,22.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,2259.51,KLAX,KDFW
KLAX,Los Angeles,los_angeles,2025-10-10,20.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 777-300ER (77W),8,52,60,3986.17,KLAX,KMIA
KLAX,Los Angeles,los_angeles,2025-10-10,20.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,3866.31,KLAX,KDCA
KLAX,Los Angeles,los_angeles,2025-10-10,22.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737-900 (739) Layout 1,20,0,20,1523.96,KLAX,KDEN
KLAX,Los Angeles,los_angeles,2025-10-10,21.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Embraer ERJ-175 (E75) Layout 1,12,0,12,2088.05,KLAX,KAUS
KLAX,Los Angeles,los_angeles,2025-10-10,20.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 787-10 (781),0,122,122,3012.67,KLAX,KORD
KLAX,Los Angeles,los_angeles,2025-10-10,21.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 737-800 (738) Layout 1,16,0,16,2153.79,KLAX,KDFW
KLAX,Los Angeles,los_angeles,2025-10-10,21.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Embraer ERJ-175 (E75) Layout 1,12,0,12,2332.18,KLAX,KIAH
KLAX,Los Angeles,los_angeles,2025-10-10,18.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,4120.73,KLAX,PHKO
KLAX,Los Angeles,los_angeles,2025-10-10,20.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-900ER (739),20,0,20,3052.51,KLAX,KBNA
KLAX,Los Angeles,los_angeles,2025-10-10,20.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,3034.22,KLAX,KORD
KLAX,Los Angeles,los_angeles,2025-10-10,18.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,4267.47,KLAX,KJFK
KLAX,Los Angeles,los_angeles,2025-10-10,21.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-800 (73H),16,0,16,1733.03,KLAX,KSEA
