aircraft_type,n_flights,premium_seats,first_class_seats,business_class_seats,premium_economy_seats,economy_seats,total_seats
B789,760923,55.54580665154028,0.01983073003485027,38.35026220488969,17.175713716615743,202.27040352225026,257.8162101737905
B77W,479043,66.1575023057726,4.656462668010095,39.554452662855894,21.9465869749066,289.05995514911064,355.2174574548833
B763,465052,33.3209275049484,0.0,33.3209275049484,0.0,175.2466819025078,208.5676094074562
B772,452057,68.82719975891445,0.0,42.96573404461643,25.861465714298014,247.19735320681488,316.02455296572936
B788,251522,40.343515873422426,0.0,17.978490612851466,22.36502526057096,187.55968197545437,227.9031978488768
B78X,239697,141.81108078672827,0.18291064819565114,120.30807650419023,21.32009363434239,250.98798286984785,392.7990636565761
A333,101629,55.02510203950067,0.050204079001343965,33.97489796049933,21.0,168.0564795888765,223.08158162837717
A359,77357,62.89605905015889,0.0,35.8219305522989,27.07412849785999,253.74749095929107,316.64355000945
A35K,75338,46.0,0.0,46.0,0.0,281.0,327.0
A339,69479,57.0,0.0,29.0,28.0,224.0,281.0
