zipcode,city,is_manhattan,origin_lat,origin_lon,facility_code,facility_name,facility_type,facility_lat,facility_lon,facility_km,flight_dist_km,flight_time_min,car_to_facility_base_min,car_to_facility_dist_km,car_to_airport_base_min,car_to_airport_dist_km,speed_to_facility_normal_kmh,speed_to_facility_rush_kmh,speed_to_facility_worst_kmh,speed_to_airport_normal_kmh,speed_to_airport_rush_kmh,speed_to_airport_worst_kmh,fast_car_to_facility_min,fast_heli_total_min,fast_car_direct_min,fast_savings_min,normal_car_to_facility_min,normal_heli_total_min,normal_car_direct_min,normal_savings_min,rush_car_to_facility_min,rush_heli_total_min,rush_car_direct_min,rush_savings_min,worst_car_to_facility_min,worst_heli_total_min,worst_car_direct_min,worst_savings_min
92657,LA,False,33.59436721799165,-117.83207751349411,3CA1,CALIFORNIA,HELIPORT,33.6231472222222,-117.880227777778,5.488574348121419,60.34093148762461,18.102279446287383,9.463333333333333,8.4245,59.74166666666667,76.1413,53.4,31.8,11.4,76.5,45.5,16.3,9.5,47.6,59.7,12.2,11.8,49.9,74.7,24.7,15.9,54.0,100.4,46.4,44.3,82.4,279.6,197.2
92629,LA,False,33.47479637705235,-117.70556228347525,1CA3,CALIFORNIA,HELIPORT,33.5614027777778,-117.715336111111,9.672723581024002,76.79745425018602,23.039236275055806,14.775,11.872200000000001,78.77166666666668,101.5124,48.2,28.7,10.3,77.3,46.0,16.5,14.8,57.8,78.8,21.0,18.5,61.5,98.5,37.0,24.8,67.9,132.3,64.5,69.1,112.2,368.7,256.5
91108,LA,False,34.122335582410265,-118.11356612305816,CL14,CALIFORNIA,HELIPORT,34.1343333333333,-118.152091666667,3.788743301512336,31.803535553204846,9.541060665961455,7.85,5.3664,41.980000000000004,46.0439,41.0,24.4,8.8,65.8,39.2,14.1,7.8,37.4,42.0,4.6,9.8,39.4,52.5,13.1,13.2,42.7,70.5,27.8,36.7,66.3,196.5,130.2
90049,LA,False,34.08750412793085,-118.489778750415,75CL,CALIFORNIA,HELIPORT,34.0667361111111,-118.446383333333,4.6159458779231395,14.2580437301533,4.27741311904599,11.503333333333334,6.7429,24.48,22.1405,35.2,20.9,7.5,54.3,32.3,11.6,11.5,35.8,24.5,-11.3,14.4,38.7,30.6,-8.1,19.3,43.6,41.1,-2.5,53.8,78.1,114.6,36.5
90212,LA,False,34.06216041826966,-118.40188176890813,84CL,CALIFORNIA,HELIPORT,34.0610583333333,-118.417391666667,1.4339844684523477,13.210881184060447,3.963264355218134,3.9233333333333333,2.1601999999999997,22.790000000000003,18.1616,33.0,19.7,7.1,47.8,28.5,10.2,3.9,27.9,22.8,-5.1,4.9,28.9,28.5,-0.4,6.6,30.6,38.3,7.7,18.4,42.3,106.7,64.3
90025,LA,False,34.045534757283214,-118.4458106599919,CL50,CALIFORNIA,HELIPORT,34.0477872222222,-118.445079722222,0.25935844906738803,12.193674974618837,3.6581024923856513,4.101666666666667,2.9069000000000003,14.731666666666666,14.3858,42.5,25.3,9.1,58.6,34.9,12.5,4.1,27.8,14.7,-13.0,5.1,28.8,18.4,-10.4,6.9,30.5,24.7,-5.8,19.2,42.9,68.9,26.1
91105,LA,False,34.14050035644464,-118.16712533889554,CL14,CALIFORNIA,HELIPORT,34.1343333333333,-118.152091666667,1.5442385786987838,31.803535553204846,9.541060665961455,5.326666666666667,2.2799,40.526666666666664,44.0764,25.7,15.3,5.5,65.3,38.8,13.9,5.3,34.9,40.5,5.7,6.7,36.2,50.7,14.5,8.9,38.5,68.1,29.6,24.9,54.5,189.7,135.2
92603,LA,False,33.62925920166835,-117.79407956581066,3CA2,CALIFORNIA,HELIPORT,33.6778972222222,-117.836755555556,6.69720844390698,60.43256329537765,18.129768988613296,12.156666666666666,9.2446,61.03,75.5053,45.6,27.2,9.7,74.2,44.2,15.9,12.2,50.3,61.0,10.7,15.2,53.3,76.3,23.0,20.4,58.6,102.5,44.0,56.9,95.0,285.6,190.6
92618,LA,False,33.667308589327575,-117.7335769617936,CL92,CALIFORNIA,HELIPORT,33.6552638888889,-117.705852777778,2.8944017080221816,72.32362153837151,21.697086461511454,8.815,5.7088,63.82333333333334,79.667,38.9,23.1,8.3,74.9,44.6,16.0,8.8,50.5,63.8,13.3,11.0,52.7,79.8,27.1,14.8,56.5,107.2,50.7,41.3,83.0,298.7,215.7
90211,LA,False,34.064956251064515,-118.38298127735312,84CA,CALIFORNIA,HELIPORT,34.0738222222222,-118.377619444444,1.1026399898325483,14.870196782860168,4.46105903485805,3.728333333333333,2.2051,22.136666666666667,16.5873,35.5,21.1,7.6,45.0,26.8,9.6,3.7,28.2,22.1,-6.1,4.7,29.1,27.7,-1.5,6.3,30.7,37.2,6.5,17.4,41.9,103.6,61.7
